kernel,Duration (us),Memory Throughput (%),DRAM Throughput (%),L1/TEX Cache Throughput (%),L2 Cache Throughput (%),Compute (SM) Throughput (%),Achieved Occupancy (%),Theoretical Occupancy (%),Registers Per Thread,Grid Size,Waves Per SM,Block Size
kernel1,1330.0,33.99,19.98,55.72,33.99,3.59,18.28,100.0,40.0,32.0,0.18,256
kernel2,237.66,83.31,83.31,22.84,28.95,17.05,74.44,100.0,39.0,1024.0,5.69,256
kernel3,241.38,89.02,89.02,19.73,29.81,8.89,84.31,100.0,37.0,1024.0,5.69,256
kernel4,244.32,88.18,88.18,20.19,33.18,5.57,83.63,100.0,40.0,1024.0,5.69,256
kernel5,239.2,80.32,80.32,24.19,29.78,18.95,68.1,100.0,39.0,1024.0,5.69,256
kernel6,227.87,87.53,87.53,19.73,30.41,5.06,58.31,66.67,51.0,120.0,1.0,256
kernel7_fp32,227.55,91.36,91.36,23.76,30.82,17.82,80.59,100.0,39.0,1024.0,5.69,256
kernel7_fp16,99.04,80.15,80.15,41.9,28.12,41.68,76.68,100.0,33.0,1024.0,5.69,256
kernel7_bf16,98.75,79.51,79.51,43.42,27.93,40.64,80.49,100.0,31.0,1024.0,5.69,256
kernel8_fp32,236.86,89.46,89.46,19.81,33.58,8.91,81.11,100.0,37.0,1024.0,5.69,256
kernel8_fp16,100.58,83.35,83.35,24.34,30.93,20.58,69.57,100.0,31.0,1024.0,5.69,256
kernel8_bf16,99.17,84.18,84.18,24.93,31.2,21.05,66.94,100.0,30.0,1024.0,5.69,256
